Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
7514;E0514;TUP284;ALIMENTADOR (50);ALIMENTADOR;EURO IV;MERCEDES BENZ;CON ELEVADOR;GMOVIL ENGATIVA;2012;Engativá;ENGATIVA AL;5,86;
7700;E0700;WDG566;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,15;
7702;E0702;WEX357;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,24;
7703;E0703;WEX358;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,15;
7704;E0704;WEX359;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,81;
7705;E0705;WEX360;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,66;
7706;E0706;WEX361;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,65;
7707;E0707;WEX362;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,06;
7708;E0708;WEX363;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,06;
7709;E0709;WEX364;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,26;
7710;E0710;WEX365;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,41;
7711;E0711;WEX366;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,43;
7712;E0712;WEX367;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,00;
7713;E0713;WEX368;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,45;
7714;E0714;WEX369;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,44;
7715;E0715;WEX370;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,60;
7716;E0716;WEX371;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,40;
7717;E0717;WEX372;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,14;
7718;E0718;WEX374;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,22;
7719;E0719;WEX375;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,54;
7720;E0720;WEX376;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,59;
7721;E0721;WEX377;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,47;
7722;E0722;WEX378;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,59;
7723;E0723;WEX379;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,02;
7724;E0724;WEX380;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,91;
7725;E0725;WEX381;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,65;
7726;E0726;WEX382;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,44;
7727;E0727;WEX383;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,72;
7728;E0728;WEX384;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,78;
7729;E0729;WEX385;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,50;
7730;E0730;WEX386;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,65;
7731;E0731;WEX387;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,77;
7732;E0732;WEX388;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,90;
7733;E0733;WEX389;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,52;
7734;E0734;WEX390;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,80;
7735;E0735;WEX394;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,44;
7736;E0736;WEX373;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,42;
7737;E0737;WEX391;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,69;
7738;E0738;WGK145;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,46;
